"Fertility, by age, by state",,,,,,,,,,,,,,,,
Measure: Births,,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,,
Unit of measure: Number,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Time Period,Time Period,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989
Region,,,,,,,,,,,,,,,,
Age: All ages,,,,,,,,,,,,,,,,
Australia,,233012,227810,226291,224181,223129,225527,235842,239903,242570,234034,247348,243408,243959,246193,250853
·  New South Wales,,81172,78749,78302,78052,77469,79801,81971,83908,83307,77994,87786,84531,86093,84647,85790
·  Victoria,,61778,60413,59244,58687,57628,58022,59284,59876,59928,59485,61555,60162,61507,62134,64002
·  Queensland,,36328,35268,34976,34530,35220,35001,38935,40599,42085,40446,40437,40371,39365,40561,42071
·  South Australia,,19883,18866,19170,18523,18413,18430,19271,19199,19830,20052,19790,19741,19235,19155,19610
·  Western Australia,,20365,20700,20688,20662,20515,20652,21900,22261,23087,21625,23109,24236,23332,25143,25051
·  Tasmania,,7014,6736,6760,6836,6789,6776,7230,7039,7062,7132,7249,6950,6790,6779,6813
·  Northern Territory,,2275,2688,2601,2700,2848,2602,3109,2914,3127,3191,3315,3315,3529,3439,3379
·  Australian Capital Territory,,4178,4272,4405,4191,4247,4243,4142,4107,4144,4109,4107,4102,4108,4335,4137
Age: 15-19,,,,,,,,,,,,,,,,
Australia,,24215,21713,20273,19115,18316,17693,17912,17316,16653,14628,14556,14326,13984,13961,14259
·  New South Wales,,8471,7520,6934,6491,6190,6292,6091,5981,5663,4762,4946,4731,4730,4697,4824
·  Victoria,,5113,4610,4244,3985,3616,3398,3358,3235,3041,2667,2670,2523,2660,2573,2682
·  Queensland,,4643,4128,3834,3676,3713,3431,3817,3756,3794,3284,3145,3132,2819,2855,2963
·  South Australia,,2073,1765,1782,1637,1527,1497,1516,1355,1317,1278,1182,1192,1126,1137,1186
·  Western Australia,,2277,2137,1978,1823,1759,1723,1715,1639,1567,1429,1380,1506,1381,1534,1441
·  Tasmania,,1010,867,894,870,830,777,748,692,587,586,597,525,522,473,509
·  Northern Territory,,379,469,398,441,490,392,482,486,517,484,500,565,588,531,513
·  Australian Capital Territory,,249,209,197,192,191,183,185,172,167,138,136,152,158,161,141
Age: 15,,,,,,,,,,,,,,,,
Australia,,869,853,729,695,645,589,578,573,608,504,521,522,499,429,489
·  New South Wales,,288,242,201,208,170,189,143,173,164,126,152,139,133,123,151
·  Victoria,,110,122,126,105,85,69,84,63,70,69,82,60,84,58,43
·  Queensland,,200,197,166,141,141,126,132,128,124,117,97,122,100,74,111
·  South Australia,,90,89,78,60,58,60,53,42,55,42,33,36,42,39,51
·  Western Australia,,84,95,67,92,84,67,65,60,77,51,65,71,56,64,56
·  Tasmania,,47,33,32,32,28,22,26,36,28,17,15,16,17,13,14
·  Northern Territory,,45,65,53,53,77,50,72,68,88,77,71,75,64,55,60
·  Australian Capital Territory,,5,9,6,4,1,6,2,4,1,5,6,3,1,4,4
Age: 16,,,,,,,,,,,,,,,,
Australia,,2386,1988,1843,1670,1645,1518,1504,1445,1434,1275,1327,1203,1236,1251,1221
·  New South Wales,,846,620,576,526,552,514,483,483,463,369,398,366,408,400,400
·  Victoria,,432,364,336,302,295,245,237,235,223,199,211,189,207,202,182
·  Queensland,,484,451,400,386,320,323,363,335,353,301,332,255,260,268,266
·  South Australia,,219,164,182,129,144,127,120,102,116,112,105,94,99,108,116
·  Western Australia,,235,218,174,169,164,176,166,144,147,142,145,148,116,146,134
·  Tasmania,,101,89,103,81,87,72,63,59,56,64,51,42,50,41,46
·  Northern Territory,,48,58,61,61,69,51,60,71,69,76,74,96,86,82,71
·  Australian Capital Territory,,21,24,9,16,14,10,12,16,7,12,11,13,10,2,6
Age: 17,,,,,,,,,,,,,,,,
Australia,,4533,4002,3770,3521,3433,3165,3195,3159,2987,2691,2651,2683,2594,2668,2697
·  New South Wales,,1727,1380,1264,1179,1168,1120,1076,1079,993,870,862,885,876,938,946
·  Victoria,,861,842,786,698,657,583,586,564,522,487,488,419,486,457,475
·  Queensland,,873,733,717,716,711,645,719,712,706,610,553,608,548,555,555
·  South Australia,,372,347,358,319,293,269,249,264,232,235,237,260,205,203,212
·  Western Australia,,398,402,371,319,309,290,314,315,307,281,257,289,251,294,270
·  Tasmania,,196,177,169,179,168,158,131,120,98,100,125,93,83,84,94
·  Northern Territory,,74,85,71,76,96,75,91,83,95,89,110,100,120,110,110
·  Australian Capital Territory,,32,36,32,35,31,25,29,22,34,19,19,29,25,27,35
Age: 18,,,,,,,,,,,,,,,,
Australia,,7113,6292,5779,5535,5270,5271,5281,5060,4771,4269,4192,4204,4128,3934,4286
·  New South Wales,,2456,2286,2047,1940,1862,1895,1912,1784,1625,1427,1481,1391,1412,1340,1451
·  Victoria,,1559,1296,1214,1138,1026,1052,1004,950,911,770,793,744,806,762,794
·  Queensland,,1344,1215,1093,1060,1063,988,1047,1108,1086,982,898,938,814,800,929
·  South Australia,,596,492,468,479,409,434,454,393,406,383,324,360,345,318,336
·  Western Australia,,689,595,545,501,486,499,468,468,407,380,379,403,406,414,441
·  Tasmania,,284,229,258,243,246,221,223,187,174,162,157,180,149,118,155
·  Northern Territory,,98,130,95,117,124,116,110,116,113,123,120,146,141,133,137
·  Australian Capital Territory,,87,45,54,57,54,66,63,54,49,42,40,42,55,49,43
Age: 19,,,,,,,,,,,,,,,,
Australia,,9314,8578,8152,7694,7323,7150,7354,7079,6853,5889,5865,5714,5527,5679,5566
·  New South Wales,,3154,2992,2846,2638,2438,2574,2477,2462,2418,1970,2053,1950,1901,1896,1876
·  Victoria,,2151,1986,1782,1742,1553,1449,1447,1423,1315,1142,1096,1111,1077,1094,1188
·  Queensland,,1742,1532,1458,1373,1478,1349,1556,1473,1525,1274,1265,1209,1097,1158,1102
·  South Australia,,796,673,696,650,623,607,640,554,508,506,483,442,435,469,471
·  Western Australia,,871,827,821,742,716,691,702,652,629,575,534,595,552,616,540
·  Tasmania,,382,339,332,335,301,304,305,290,231,243,249,194,223,217,200
·  Northern Territory,,114,131,118,134,124,100,149,148,152,119,125,148,177,151,135
·  Australian Capital Territory,,104,95,96,80,90,76,78,77,75,60,60,65,65,78,54
Age: 20-24,,,,,,,,,,,,,,,,
Australia,,77164,74449,71698,69145,66652,66867,68978,68316,68194,62727,63463,59045,55443,53171,51647
·  New South Wales,,25777,24690,23874,23424,22654,23229,23691,23661,23079,20834,22319,20370,19355,18186,17457
·  Victoria,,19928,18998,18094,16987,16109,15927,15893,15525,15304,14328,14188,12963,12572,11961,11827
·  Queensland,,12412,12048,11703,11355,11120,11088,12311,12544,13006,11888,11498,10747,10029,9799,9577
·  South Australia,,7090,6654,6468,6088,5868,5993,5960,5804,5858,5641,5450,5112,4558,4264,4236
·  Western Australia,,7328,7358,7115,6911,6634,6528,6664,6602,6816,6028,6132,6105,5435,5601,5272
·  Tasmania,,2612,2557,2402,2427,2373,2301,2562,2363,2325,2250,2122,2006,1778,1648,1651
·  Northern Territory,,719,863,778,842,859,796,925,873,887,952,895,934,935,875,862
·  Australian Capital Territory,,1295,1245,1226,1111,1035,1005,972,944,919,806,859,808,781,837,765
Age: 20,,,,,,,,,,,,,,,,
Australia,,11630,10917,10222,9896,9460,9205,9423,9325,9103,7876,7835,7360,7020,7110,7086
·  New South Wales,,3956,3718,3414,3390,3278,3181,3206,3234,3127,2770,2717,2578,2480,2401,2351
·  Victoria,,2835,2544,2399,2213,2147,2058,1960,1906,1847,1556,1585,1427,1409,1482,1509
·  Queensland,,1973,1870,1830,1811,1675,1619,1857,1932,1921,1613,1606,1492,1353,1407,1427
·  South Australia,,1009,928,927,834,820,825,798,734,759,646,642,613,571,564,584
·  Western Australia,,1160,1105,1016,976,888,914,918,898,840,743,736,764,697,765,734
·  Tasmania,,444,420,357,363,360,320,389,362,349,316,298,249,252,227,219
·  Northern Territory,,114,156,139,167,159,143,173,158,151,144,142,145,167,174,163
·  Australian Capital Territory,,139,171,137,142,133,145,122,101,109,88,109,92,91,90,99
Age: 21,,,,,,,,,,,,,,,,
Australia,,13519,13033,12534,12079,11673,11351,11682,11512,11499,10155,10062,9068,8629,8286,8323
·  New South Wales,,4559,4417,4196,4101,4096,4036,3988,4080,3900,3273,3605,3093,2984,2797,2760
·  Victoria,,3284,3211,3077,2945,2662,2590,2578,2417,2380,2167,2118,1908,1833,1797,1741
·  Queensland,,2308,2148,2159,2069,2005,1948,2178,2188,2353,2028,1887,1707,1656,1608,1616
·  South Australia,,1272,1144,1097,1022,1033,1027,998,992,958,971,843,789,692,665,714
·  Western Australia,,1297,1300,1220,1181,1146,1048,1160,1094,1212,1042,974,961,870,857,899
·  Tasmania,,482,453,458,444,418,420,466,439,395,366,366,337,318,280,291
·  Northern Territory,,110,157,125,155,156,140,175,169,164,193,159,159,167,163,183
·  Australian Capital Territory,,206,195,195,162,157,142,139,133,137,115,110,114,109,119,119
Age: 22,,,,,,,,,,,,,,,,
Australia,,15629,14993,14344,14107,13430,13767,14006,13906,13840,12632,12684,11722,10664,10402,10010
·  New South Wales,,5217,5016,4834,4756,4562,4751,4893,4802,4638,4265,4503,4120,3751,3630,3397
·  Victoria,,3958,3735,3526,3498,3171,3249,3159,3167,3038,2835,2799,2487,2398,2299,2320
·  Queensland,,2558,2441,2344,2275,2320,2385,2510,2549,2631,2436,2303,2144,1989,1872,1843
·  South Australia,,1482,1326,1291,1286,1154,1194,1233,1153,1208,1095,1090,990,842,841,823
·  Western Australia,,1474,1514,1487,1439,1353,1345,1333,1388,1445,1182,1238,1210,1019,1092,983
·  Tasmania,,545,548,470,494,486,472,536,480,504,470,421,418,334,333,335
·  Northern Territory,,155,182,155,154,170,166,162,171,198,197,175,196,183,168,162
·  Australian Capital Territory,,239,222,231,205,214,205,180,196,178,152,155,157,148,167,147
Age: 23,,,,,,,,,,,,,,,,
Australia,,17448,17081,16552,15819,15320,15617,16420,15744,15963,15085,15449,14147,13322,12372,12090
·  New South Wales,,5818,5582,5508,5386,5060,5395,5672,5367,5437,4976,5434,4817,4626,4149,4133
·  Victoria,,4718,4487,4303,3840,3861,3820,3911,3719,3745,3572,3549,3162,3134,2884,2826
·  Queensland,,2696,2739,2591,2535,2443,2499,2881,2776,2922,2779,2724,2551,2351,2281,2225
·  South Australia,,1535,1544,1503,1437,1374,1465,1395,1412,1349,1365,1317,1264,1073,1036,949
·  Western Australia,,1640,1684,1608,1618,1575,1533,1562,1498,1570,1489,1539,1474,1322,1279,1208
·  Tasmania,,551,548,552,525,557,514,576,557,539,522,475,476,421,387,384
·  Northern Territory,,150,183,179,199,196,179,203,182,183,199,198,211,207,163,184
