"Fertility, by age, by state",,,,,,,,,,,
Measure: Births,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,
Unit of measure: Number,,,,,,,,,,,
,,,,,,,,,,,
Time Period,Time Period,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999
Region,,,,,,,,,,,
Age: All ages,,,,,,,,,,,
Australia,,262648,257247,264151,260229,258051,256190,253834,251842,249616,248870
·  New South Wales,,90534,87367,92585,89354,87977,87849,86595,87156,85499,86784
·  Victoria,,66970,65438,65766,64049,63974,62591,61143,60732,60492,58875
·  Queensland,,44868,44160,46240,46778,46578,46484,47769,46965,47046,46503
·  South Australia,,19863,19640,19311,20078,19409,19336,19056,18362,18226,17958
·  Western Australia,,25356,25417,25073,25081,25138,25139,24793,24776,24717,24849
·  Tasmania,,7043,6870,6987,6835,6844,6570,6457,6007,5978,6032
·  Northern Territory,,3557,3599,3742,3603,3626,3766,3562,3588,3641,3576
·  Australian Capital Territory,,4457,4756,4447,4416,4461,4415,4396,4208,3982,4253
Age: 15-19,,,,,,,,,,,
Australia,,15107,14717,14154,13175,12853,12631,12509,12309,11849,11751
·  New South Wales,,5058,4971,4879,4423,4233,4129,4086,4071,3929,3988
·  Victoria,,2816,2738,2405,2180,2183,2103,1955,1911,1935,1713
·  Queensland,,3266,3148,3136,3066,3007,2964,3083,3082,2873,2818
·  South Australia,,1179,1125,949,879,781,828,872,775,741,763
·  Western Australia,,1580,1540,1539,1451,1533,1504,1425,1348,1358,1401
·  Tasmania,,495,523,498,503,454,411,445,457,407,459
·  Northern Territory,,532,483,566,491,492,519,471,502,468,474
·  Australian Capital Territory,,181,189,182,182,168,171,169,163,138,135
Age: 15,,,,,,,,,,,
Australia,,466,447,402,425,494,442,471,442,417,422
·  New South Wales,,138,113,117,142,148,134,127,118,117,134
·  Victoria,,63,58,26,46,64,73,58,56,45,54
·  Queensland,,78,79,84,88,82,92,105,116,96,94
·  South Australia,,46,49,20,17,23,15,24,25,15,14
·  Western Australia,,64,65,57,57,90,57,63,45,63,60
·  Tasmania,,18,10,21,17,16,8,20,16,20,13
·  Northern Territory,,57,69,72,52,65,60,67,59,59,50
·  Australian Capital Territory,,1,3,5,6,6,2,7,7,4,1
Age: 16,,,,,,,,,,,
Australia,,1106,1137,1114,1057,1098,1147,1091,1059,1042,985
·  New South Wales,,316,359,368,368,345,357,364,325,314,330
·  Victoria,,179,191,158,125,171,168,171,161,152,115
·  Queensland,,261,254,237,250,257,272,271,261,270,245
·  South Australia,,92,85,69,45,58,67,54,66,56,54
·  Western Australia,,131,146,162,142,140,157,130,116,128,140
·  Tasmania,,42,36,38,38,35,34,32,50,33,35
·  Northern Territory,,72,53,64,78,79,85,56,70,78,60
·  Australian Capital Territory,,13,13,18,11,13,7,13,10,11,6
Age: 17,,,,,,,,,,,
Australia,,2783,2621,2485,2392,2294,2310,2427,2232,2250,2167
·  New South Wales,,961,889,831,771,758,775,832,740,754,743
·  Victoria,,436,492,406,395,374,369,367,313,326,287
·  Queensland,,623,562,569,555,531,557,597,549,547,545
·  South Australia,,226,201,152,155,142,126,161,146,135,124
·  Western Australia,,297,263,282,280,270,288,255,257,271,248
·  Tasmania,,90,89,112,95,91,67,93,86,97,89
·  Northern Territory,,114,90,104,104,97,99,88,105,93,108
·  Australian Capital Territory,,36,35,29,37,31,29,34,36,27,23
Age: 18,,,,,,,,,,,
Australia,,4508,4333,4140,3786,3518,3522,3531,3537,3362,3352
·  New South Wales,,1517,1498,1444,1240,1116,1129,1115,1168,1113,1108
·  Victoria,,870,774,722,617,597,589,546,538,596,511
·  Queensland,,1008,923,945,884,873,856,929,930,811,778
·  South Australia,,327,332,280,285,219,248,265,219,216,240
·  Western Australia,,479,443,429,418,414,418,389,412,378,412
·  Tasmania,,145,186,130,147,139,114,133,126,99,140
·  Northern Territory,,119,120,138,135,114,123,117,99,103,120
·  Australian Capital Territory,,43,57,52,60,46,45,36,45,46,43
Age: 19,,,,,,,,,,,
Australia,,6244,6179,6013,5515,5449,5210,4989,5039,4778,4825
·  New South Wales,,2126,2112,2119,1902,1866,1734,1648,1720,1631,1673
·  Victoria,,1268,1223,1093,997,977,904,813,843,816,746
·  Queensland,,1296,1330,1301,1289,1264,1187,1181,1226,1149,1156
·  South Australia,,488,458,428,377,339,372,368,319,319,331
·  Western Australia,,609,623,609,554,619,584,588,518,518,541
·  Tasmania,,200,202,197,206,173,188,167,179,158,182
·  Northern Territory,,170,151,188,122,137,152,143,169,135,136
·  Australian Capital Territory,,87,80,78,68,72,87,79,65,52,60
Age: 20-24,,,,,,,,,,,
Australia,,53169,51679,52834,50681,49386,47247,44837,42052,40052,38943
·  New South Wales,,18255,17364,18516,17625,16959,16409,15425,14698,13951,13674
·  Victoria,,12132,11704,11485,10676,10406,9677,8766,8365,7883,7294
·  Queensland,,9962,9775,10493,10334,10245,9925,9978,9322,8875,8689
·  South Australia,,4147,4042,3786,3693,3454,3207,3179,2705,2714,2577
·  Western Australia,,5247,5362,5134,5005,4974,4886,4538,4291,4119,4123
·  Tasmania,,1661,1589,1626,1588,1595,1397,1405,1235,1142,1161
·  Northern Territory,,929,956,1016,952,961,976,857,832,835,817
·  Australian Capital Territory,,836,887,778,795,788,768,681,594,529,601
Age: 20,,,,,,,,,,,
Australia,,7502,7541,7738,7240,6645,6362,6124,5951,5669,5734
·  New South Wales,,2556,2542,2786,2492,2326,2244,2062,2063,1940,2002
·  Victoria,,1570,1582,1539,1324,1227,1176,1045,1043,1004,957
·  Queensland,,1492,1496,1594,1637,1485,1419,1441,1383,1334,1341
·  South Australia,,594,567,546,520,455,411,441,384,372,372
·  Western Australia,,737,770,755,739,680,657,689,647,624,616
·  Tasmania,,255,263,256,241,235,189,212,194,185,193
·  Northern Territory,,180,193,181,167,146,164,150,154,142,169
·  Australian Capital Territory,,118,128,81,119,91,102,84,82,68,82
Age: 21,,,,,,,,,,,
Australia,,8946,8745,9092,8550,8095,7519,7145,6770,6511,6566
·  New South Wales,,2989,2949,3174,3081,2784,2624,2433,2376,2311,2276
·  Victoria,,1969,1831,1852,1642,1596,1437,1306,1241,1205,1151
·  Queensland,,1785,1673,1915,1807,1722,1657,1651,1602,1452,1522
·  South Australia,,736,697,611,604,555,511,499,449,443,438
·  Western Australia,,878,974,931,852,833,788,741,682,669,700
·  Tasmania,,305,281,275,268,283,235,250,184,194,210
·  Northern Territory,,169,194,205,176,197,149,160,153,148,166
·  Australian Capital Territory,,115,146,129,118,125,118,101,81,87,103
Age: 22,,,,,,,,,,,
Australia,,10291,10195,10230,10290,9860,9133,8526,8175,7767,7510
·  New South Wales,,3534,3408,3593,3536,3419,3140,2950,2889,2687,2699
·  Victoria,,2334,2303,2218,2200,1979,1831,1662,1545,1473,1335
·  Queensland,,1931,1975,2043,2101,2082,1988,1902,1838,1770,1673
·  South Australia,,800,807,700,724,718,608,597,531,536,482
·  Western Australia,,1014,1045,962,1005,1007,942,865,839,827,814
·  Tasmania,,326,309,326,331,310,276,259,248,200,226
·  Northern Territory,,190,183,220,210,188,202,169,161,159,154
·  Australian Capital Territory,,162,165,168,179,156,146,120,123,115,125
Age: 23,,,,,,,,,,,
Australia,,12184,11806,12144,11463,11619,11320,10301,9658,9187,8848
·  New South Wales,,4220,3974,4221,4071,3964,3919,3591,3339,3205,3102
·  Victoria,,2799,2775,2763,2392,2564,2381,2052,2012,1856,1705
·  Queensland,,2274,2173,2354,2309,2381,2300,2302,2111,2007,1939
·  South Australia,,936,940,904,846,761,788,742,640,636,604
·  Western Australia,,1193,1191,1166,1146,1155,1220,973,972,935,952
·  Tasmania,,370,337,336,319,379,306,300,281,243,260
·  Northern Territory,,211,202,202,197,219,221,182,168,190,151
·  Australian Capital Territory,,181,214,198,180,193,185,159,134,115,135
Age: 24,,,,,,,,,,,
Australia,,14246,13392,13630,13138,13167,12913,12741,11498,10918,10285
·  New South Wales,,4956,4491,4742,4445,4466,4482,4389,4031,3808,3595
·  Victoria,,3460,3213,3113,3118,3040,2852,2701,2524,2345,2146
·  Queensland,,2480,2458,2587,2480,2575,2561,2682,2388,2312,2214
·  South Australia,,1081,1031,1025,999,965,889,900,701,727,681
·  Western Australia,,1425,1382,1320,1263,1299,1279,1270,1151,1064,1041
·  Tasmania,,405,399,433,429,388,391,384,328,320,272
·  Northern Territory,,179,184,208,202,211,240,196,196,196,177
·  Australian Capital Territory,,260,234,202,199,223,217,217,174,144,156
Age: 25-29,,,,,,,,,,,
Australia,,97438,91932,91177,88279,85372,83585,82782,82511,81677,79553
·  New South Wales,,33444,30916,31707,29837,28726,28254,27951,28312,27995,27944
·  Victoria,,25265,23908,23362,22524,21661,20948,20304,20038,19556,18530
·  Queensland,,16542,15566,15669,15630,15263,15110,15466,15473,15698,15214
·  South Australia,,7606,7260,6696,6836,6546,6423,6213,6026,5868,5679
·  Western Australia,,9293,9129,8681,8494,8405,8172,8188,8144,8097,7871
·  Tasmania,,2610,2441,2432,2352,2270,2151,2126,2013,1997,1969
·  Northern Territory,,1044,1063,1034,1071,1031,1086,1052,1104,1133,1067
·  Australian Capital Territory,,1634,1649,1596,1528,1452,1424,1461,1385,1325,1270
Age: 25,,,,,,,,,,,
Australia,,16399,15539,15254,15027,14894,14422,14536,13957,13061,12252
·  New South Wales,,5591,5138,5366,5117,5006,4959,4857,4863,4571,4360
·  Victoria,,4125,3940,3712,3529,3589,3366,3328,3082,2798,2560
·  Queensland,,2882,2692,2755,2826,2802,2743,2946,2849,2744,2546
·  South Australia,,1349,1241,1104,1170,1109,1081,1043,975,868,838
·  Western Australia,,1567,1554,1404,1467,1509,1418,1463,1361,1321,1218
·  Tasmania,,415,477,405,442,397,418,422,369,362,340
·  Northern Territory,,204,218,233,216,212,197,214,222,205,200
·  Australian Capital Territory,,266,279,275,260,265,237,260,235,190,190
Age: 26,,,,,,,,,,,
Australia,,18834,17588,17073,16737,16291,16051,15588,15885,15306,14232
·  New South Wales,,6430,5893,5898,5568,5456,5469,5426,5473,5261,5044
·  Victoria,,4794,4461,4331,4292,4063,3861,3588,3761,3457,3145
·  Queensland,,3257,3078,2915,2973,2923,2962,3034,3074,3135,2847
·  South Australia,,1476,1467,1293,1326,1238,1190,1168,1130,1050,984
·  Western Australia,,1825,1698,1649,1613,1641,1653,1507,1541,1561,1422
·  Tasmania,,508,466,471,461,481,416,386,418,373,362
·  Northern Territory,,224,200,196,198,220,229,208,220,216,190
·  Australian Capital Territory,,320,325,320,303,266,268,263,266,252,234
Age: 27,,,,,,,,,,,
Australia,,20544,19237,18725,17735,17259,17044,17132,16890,17049,16407
·  New South Wales,,7054,6405,6401,6045,5812,5648,5779,5807,5807,5900
·  Victoria,,5337,4991,4871,4576,4361,4239,4241,4105,4220,3669
