"Fertility, by age, by state",,,,,,,,,,,,,,,
Measure: Births,,,,,,,,,,,,,,,
Frequency: Annual,,,,,,,,,,,,,,,
Unit of measure: Number,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Time Period,Time Period,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Region,,,,,,,,,,,,,,,
Age: All ages,,,,,,,,,,,,,,,
Australia,,249636,246394,250988,251161,254246,264493,270849,292152,302272,301253,303318,301617,309582,308065
·  New South Wales,,86752,84578,86583,86344,85894,91224,92188,96351,100276,98231,101266,99054,98508,100462
·  Victoria,,59171,58626,61478,61058,62417,63297,65245,70325,71184,70928,70572,71444,77405,73969
·  Queensland,,47278,47678,47771,48342,49940,51707,52695,61306,63168,66149,64523,63253,63837,63354
·  South Australia,,17859,17281,17665,17443,17140,17801,18260,19666,20229,19735,20078,19892,20433,20090
·  Western Australia,,25093,24002,23601,24273,25295,26253,27777,29165,31851,30879,31424,32259,33627,34516
·  Tasmania,,5692,6430,6003,5752,5809,6310,6475,6663,6775,6627,6385,6608,6168,6049
·  Northern Territory,,3685,3822,3724,3790,3551,3660,3696,3896,3944,3820,3899,3954,4104,4053
·  Australian Capital Territory,,4065,3938,4112,4128,4174,4210,4484,4757,4808,4860,5152,5121,5461,5545
Age: 15-19,,,,,,,,,,,,,,,
Australia,,11474,11704,11505,10811,10857,11151,11005,11835,12932,12702,11865,11344,11420,10407
·  New South Wales,,3627,3727,3643,3301,3310,3374,3399,3409,3821,3613,3573,3306,3180,3016
·  Victoria,,1729,1849,1830,1673,1713,1642,1653,1732,1864,1764,1513,1618,1830,1624
·  Queensland,,2897,2905,2915,2821,2883,2768,2725,3295,3645,4026,3667,3296,3308,2996
·  South Australia,,757,730,786,751,686,943,848,904,953,836,807,800,818,700
·  Western Australia,,1408,1325,1292,1286,1371,1446,1392,1485,1686,1514,1449,1460,1413,1322
·  Tasmania,,439,543,450,419,397,419,405,438,449,443,358,399,382,348
·  Northern Territory,,491,509,459,458,402,448,471,449,413,391,388,353,387,307
·  Australian Capital Territory,,124,116,129,101,94,109,108,123,95,115,107,110,101,93
Age: 15,,,,,,,,,,,,,,,
Australia,,384,423,383,376,356,389,360,458,467,505,433,392,405,371
·  New South Wales,,109,129,126,97,110,109,103,117,132,108,112,98,96,105
·  Victoria,,41,55,42,43,51,43,37,49,56,44,28,41,59,55
·  Queensland,,89,103,85,113,83,89,67,124,123,179,147,115,106,88
·  South Australia,,21,11,18,23,13,24,31,34,33,38,22,24,26,22
·  Western Australia,,58,58,52,59,60,59,45,66,60,72,71,56,58,58
·  Tasmania,,14,12,11,11,10,7,16,15,16,22,19,14,16,13
·  Northern Territory,,51,52,46,28,26,56,57,49,45,39,32,43,39,27
·  Australian Capital Territory,,3,1,3,4,3,1,4,1,2,4,3,2,5,3
Age: 16,,,,,,,,,,,,,,,
Australia,,989,968,990,951,886,938,912,943,1101,1052,977,932,887,788
·  New South Wales,,285,274,297,272,261,281,275,257,328,282,294,274,233,222
·  Victoria,,128,149,122,130,126,121,108,112,137,140,108,122,134,107
·  Queensland,,264,236,272,250,246,231,220,262,312,348,295,279,261,233
·  South Australia,,64,58,57,38,37,79,80,75,77,79,58,62,67,47
·  Western Australia,,117,127,121,136,126,139,124,138,169,120,122,129,112,112
·  Tasmania,,45,45,48,40,31,27,33,36,36,34,40,26,35,27
·  Northern Territory,,76,70,59,77,53,54,64,54,34,42,52,32,41,31
·  Australian Capital Territory,,10,9,14,8,5,6,8,9,7,7,7,8,1,9
Age: 17,,,,,,,,,,,,,,,
Australia,,2105,2074,1993,1917,1940,2017,1899,2093,2177,2277,1951,1917,2037,1811
·  New South Wales,,681,635,636,541,558,560,542,586,598,636,588,589,587,510
·  Victoria,,272,283,301,286,284,276,273,293,304,298,235,259,318,269
·  Queensland,,540,566,503,487,538,519,496,588,668,739,629,551,589,525
·  South Australia,,130,119,133,136,130,180,149,160,147,135,140,107,127,124
·  Western Australia,,263,240,216,264,274,272,255,279,282,281,229,246,269,240
·  Tasmania,,82,109,91,94,67,96,74,79,89,83,47,82,59,71
·  Northern Territory,,107,106,90,92,73,96,94,88,73,82,65,66,70,57
·  Australian Capital Territory,,29,16,23,17,16,18,15,20,15,23,18,16,18,15
Age: 18,,,,,,,,,,,,,,,
Australia,,3254,3311,3287,3023,3169,3111,3098,3287,3685,3492,3290,3190,3255,2951
·  New South Wales,,989,1038,1006,930,954,984,951,955,1119,972,967,931,881,856
·  Victoria,,490,526,503,460,468,471,458,491,534,463,403,403,535,447
·  Queensland,,864,828,882,804,851,724,788,909,1028,1150,1026,937,951,873
·  South Australia,,200,234,233,250,233,268,239,244,279,226,231,255,234,216
·  Western Australia,,412,375,366,324,388,416,396,419,459,411,427,402,392,345
·  Tasmania,,131,157,129,116,136,109,120,123,121,138,95,130,119,105
·  Northern Territory,,126,133,132,112,108,112,111,105,117,105,107,94,113,88
·  Australian Capital Territory,,41,20,36,27,31,26,34,41,27,27,34,38,30,21
Age: 19,,,,,,,,,,,,,,,
Australia,,4742,4928,4852,4544,4506,4696,4736,5054,5502,5376,5214,4913,4836,4486
·  New South Wales,,1563,1651,1578,1461,1427,1440,1528,1494,1644,1615,1612,1414,1383,1323
·  Victoria,,798,836,862,754,784,731,777,787,833,819,739,793,784,746
·  Queensland,,1140,1172,1173,1167,1165,1205,1154,1412,1514,1610,1570,1414,1401,1277
·  South Australia,,342,308,345,304,273,392,349,391,417,358,356,352,364,291
·  Western Australia,,558,525,537,503,523,560,572,583,716,630,600,627,582,567
·  Tasmania,,167,220,171,158,153,180,162,185,187,166,157,147,153,132
·  Northern Territory,,131,148,132,149,142,130,145,153,144,123,132,118,124,104
·  Australian Capital Territory,,43,68,53,47,39,57,48,49,44,55,46,47,44,46
Age: 20-24,,,,,,,,,,,,,,,
Australia,,37604,37208,36782,36302,36146,37756,38450,42609,44150,43536,43187,41769,42367,41351
·  New South Wales,,13062,12712,12625,12360,12133,12843,12849,13458,14068,13367,13948,13058,12817,12672
·  Victoria,,7002,7121,7192,7118,6879,6917,7049,7864,7967,7781,7468,7646,8484,7771
·  Queensland,,8298,8472,8237,8285,8517,8810,8916,10744,11172,11802,11373,10746,10700,10637
·  South Australia,,2589,2569,2529,2491,2411,2772,2857,3094,3154,3019,3043,2886,2920,2885
·  Western Australia,,4214,3864,3744,3731,3969,4001,4324,4743,5069,4945,4842,4848,4992,5007
·  Tasmania,,1166,1212,1160,1014,1070,1148,1167,1302,1309,1265,1193,1243,1061,1094
·  Northern Territory,,768,776,818,827,758,803,807,896,893,847,802,839,861,801
·  Australian Capital Territory,,498,476,467,473,405,455,474,504,509,507,509,491,526,478
Age: 20,,,,,,,,,,,,,,,
Australia,,5424,5717,5613,5425,5358,5720,5645,6244,6461,6492,6414,6316,6123,5774
·  New South Wales,,1833,1874,1879,1798,1681,1832,1836,1917,2067,1906,1980,1985,1831,1754
·  Victoria,,946,990,976,948,940,954,946,1054,1027,1023,971,1075,1073,969
·  Queensland,,1195,1366,1373,1314,1402,1442,1387,1635,1735,1904,1758,1699,1729,1544
·  South Australia,,398,435,397,385,374,433,438,450,463,425,490,446,428,414
·  Western Australia,,634,638,581,561,593,660,675,738,752,804,778,721,696,702
·  Tasmania,,204,223,210,184,176,188,180,216,206,204,207,191,163,183
·  Northern Territory,,138,131,134,171,137,140,132,172,141,146,162,133,136,147
·  Australian Capital Territory,,76,60,60,63,55,71,50,62,68,79,67,66,67,61
Age: 21,,,,,,,,,,,,,,,
Australia,,6376,6198,6536,6313,6337,6453,6609,7334,7467,7264,7279,7074,7089,6884
·  New South Wales,,2182,2100,2223,2053,2137,2160,2223,2232,2321,2243,2382,2161,2165,2112
·  Victoria,,1118,1090,1236,1224,1132,1100,1133,1278,1294,1176,1147,1187,1364,1239
·  Queensland,,1471,1451,1508,1479,1539,1527,1555,1938,1951,1986,2001,1934,1810,1813
·  South Australia,,417,443,456,451,393,509,481,548,523,514,455,498,448,490
·  Western Australia,,742,681,663,672,724,703,753,838,879,881,830,833,876,834
·  Tasmania,,223,200,199,190,199,225,217,240,241,218,230,221,188,185
·  Northern Territory,,146,163,176,166,148,145,168,167,179,177,154,160,157,151
·  Australian Capital Territory,,76,70,74,78,64,81,76,93,78,69,79,79,80,59
Age: 22,,,,,,,,,,,,,,,
Australia,,7243,7369,7040,7196,7128,7423,7557,8444,8945,8616,8501,8118,8434,8417
·  New South Wales,,2564,2520,2408,2515,2372,2507,2474,2743,2885,2566,2733,2514,2594,2598
·  Victoria,,1342,1403,1393,1391,1397,1356,1392,1529,1606,1494,1482,1410,1666,1550
·  Queensland,,1564,1709,1574,1669,1666,1761,1759,2121,2255,2422,2254,2155,2135,2203
·  South Australia,,497,496,485,454,473,549,558,589,660,618,617,570,552,575
·  Western Australia,,799,747,708,741,769,790,851,941,1004,993,941,946,983,988
·  Tasmania,,227,255,233,186,197,208,237,254,262,256,212,247,204,222
·  Northern Territory,,148,154,149,152,159,171,176,173,177,161,153,175,195,175
·  Australian Capital Territory,,99,82,90,87,94,80,108,94,94,105,108,97,103,105
Age: 23,,,,,,,,,,,,,,,
Australia,,8541,8331,8109,8016,8276,8447,8756,9591,9806,9842,9655,9374,9618,9601
·  New South Wales,,2979,2927,2868,2755,2837,2938,2916,2985,3097,3057,3107,3013,2865,2929
·  Victoria,,1566,1630,1608,1579,1606,1592,1691,1832,1799,1893,1745,1766,1995,1895
·  Queensland,,1927,1861,1780,1805,1875,1908,1970,2387,2462,2573,2535,2300,2361,2420
·  South Australia,,607,548,559,560,567,599,643,721,722,683,685,623,706,649
·  Western Australia,,906,842,782,829,910,899,1024,1076,1139,1063,1057,1089,1150,1199
·  Tasmania,,250,262,246,208,233,260,263,285,291,275,250,285,235,235
·  Northern Territory,,183,149,169,156,147,151,163,203,178,178,166,171,184,166
·  Australian Capital Territory,,121,112,94,123,100,99,86,101,116,119,106,122,121,107
Age: 24,,,,,,,,,,,,,,,
Australia,,10020,9593,9484,9352,9047,9713,9883,10996,11471,11322,11338,10887,11103,10675
·  New South Wales,,3504,3291,3247,3239,3106,3406,3400,3581,3698,3595,3746,3385,3362,3279
·  Victoria,,2030,2008,1979,1976,1804,1915,1887,2171,2241,2195,2123,2208,2386,2118
·  Queensland,,2141,2085,2002,2018,2035,2172,2245,2663,2769,2917,2825,2658,2665,2657
·  South Australia,,670,647,632,641,604,682,737,786,786,779,796,749,786,757
·  Western Australia,,1133,956,1010,928,973,949,1021,1150,1295,1204,1236,1259,1287,1284
·  Tasmania,,262,272,272,246,265,267,270,307,309,312,294,299,271,269
·  Northern Territory,,153,179,190,182,167,196,168,181,218,185,167,200,189,162
·  Australian Capital Territory,,126,152,149,122,92,124,154,154,153,135,149,127,155,146
